Epoch, Train Loss, Train AP, Train F1, Val AP, Val F1, Test AP, Test F1, Test AUC
1, 1.0460, 0.7922, 0.7519, 0.8245, 0.7124, 0.6099, 0.0000, 0.5548
2, 1.0289, 0.8212, 0.7581, 0.8177, 0.7478, 0.7664, 0.5138, 0.7293
3, 1.0131, 0.8266, 0.7681, 0.7950, 0.7578, 0.7675, 0.0450, 0.7505
4, 1.0011, 0.8317, 0.7720, 0.8203, 0.7709, 0.8100, 0.5123, 0.8136
5, 0.9901, 0.8377, 0.7768, 0.8064, 0.7676, 0.8091, 0.4383, 0.8006
6, 0.9813, 0.8376, 0.7784, 0.8125, 0.7439, 0.8094, 0.3976, 0.8025
7, 0.9748, 0.8389, 0.7806, 0.8153, 0.7414, 0.8140, 0.5010, 0.8147
8, 0.9704, 0.8365, 0.7809, 0.8165, 0.7595, 0.8132, 0.5006, 0.8167
9, 0.9668, 0.8373, 0.7832, 0.8209, 0.7546, 0.8092, 0.4002, 0.8075
10, 0.9632, 0.8388, 0.7818, 0.8007, 0.7293, 0.7998, 0.3958, 0.7856
11, 0.9597, 0.8391, 0.7817, 0.8184, 0.7444, 0.8099, 0.4109, 0.7979
12, 0.9563, 0.8409, 0.7837, 0.8287, 0.7448, 0.8027, 0.4409, 0.7916
13, 0.9536, 0.8407, 0.7836, 0.8177, 0.7355, 0.8046, 0.4558, 0.7876
14, 0.9510, 0.8394, 0.7850, 0.8261, 0.7493, 0.8132, 0.4524, 0.8018
15, 0.9484, 0.8421, 0.7868, 0.8191, 0.7428, 0.7958, 0.4433, 0.7885
16, 0.9460, 0.8426, 0.7874, 0.8255, 0.7406, 0.7909, 0.4770, 0.7878
17, 0.9439, 0.8425, 0.7878, 0.8183, 0.7445, 0.7842, 0.4797, 0.7789
18, 0.9420, 0.8417, 0.7871, 0.8221, 0.7468, 0.7966, 0.4747, 0.7888
19, 0.9402, 0.8422, 0.7887, 0.8166, 0.7411, 0.7927, 0.4891, 0.7839
20, 0.9384, 0.8434, 0.7884, 0.8192, 0.7397, 0.7981, 0.4677, 0.7907
21, 0.9368, 0.8437, 0.7879, 0.8270, 0.7373, 0.7900, 0.4766, 0.7874
22, 0.9353, 0.8428, 0.7888, 0.8186, 0.7399, 0.7999, 0.4927, 0.7827
23, 0.9339, 0.8434, 0.7882, 0.8173, 0.7407, 0.8029, 0.4991, 0.7918
24, 0.9326, 0.8422, 0.7890, 0.8208, 0.7442, 0.7973, 0.5110, 0.7890
25, 0.9315, 0.8432, 0.7890, 0.8138, 0.7323, 0.7916, 0.5133, 0.7858
26, 0.9304, 0.8414, 0.7895, 0.8246, 0.7371, 0.7870, 0.5213, 0.7812
27, 0.9293, 0.8439, 0.7895, 0.8097, 0.7410, 0.7976, 0.5196, 0.7878
